c_sigma,c_R,family,hs_m,record,z_rms_m,z_pct_hs,rms_3d_m,roll_deg,pitch_deg,yaw_deg,rs_applied,tau_applied,sigma_applied
0.22,12.1,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0147489,5.46255,0.0395064,0.343951,0.329306,0.723056,0.367884,1.28051,0.0879148
0.22,12.1,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0624067,4.16045,0.162007,0.252747,0.519371,0.578833,1.99157,2.18038,0.178476
0.22,12.1,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.181026,4.52565,0.458392,0.673905,0.981377,2.85173,8.05074,3.58993,0.274744
0.22,12.1,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.405549,4.77116,1.02272,0.387847,0.514856,0.830669,13.6799,4.22171,0.347412
0.22,12.1,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0133224,4.93422,0.034726,0.325616,0.281533,0.544571,0.291838,1.17236,0.0944528
0.22,12.1,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0615478,4.10319,0.144515,0.250326,0.206905,0.314802,1.55313,2.04464,0.19314
0.22,12.1,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.181974,4.54935,0.421505,0.470421,0.304562,1.57229,5.63174,3.29004,0.275365
0.22,12.1,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.421857,4.96302,0.967233,0.359845,0.476751,1.1255,11.0878,4.10091,0.3658
0.22,14.4,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0160757,5.95397,0.0438174,0.344602,0.33082,0.723147,0.437812,1.28051,0.0879148
0.22,14.4,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0625794,4.17196,0.169058,0.253842,0.521785,0.57994,2.37013,2.18038,0.178476
0.22,14.4,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.176375,4.40937,0.462016,0.677601,0.992087,2.87664,9.58106,3.58993,0.274744
0.22,14.4,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.380868,4.4808,1.00389,0.389724,0.521205,0.843104,16.2802,4.22171,0.347412
0.22,14.4,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0143185,5.30316,0.0382951,0.326231,0.282911,0.546548,0.347311,1.17236,0.0944528
0.22,14.4,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0602369,4.01579,0.147793,0.251258,0.208968,0.312463,1.84836,2.04464,0.19314
0.22,14.4,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.17205,4.30125,0.41579,0.472956,0.310545,1.58394,6.70223,3.29004,0.275365
0.22,14.4,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.392614,4.61898,0.935916,0.361036,0.480799,1.13545,13.1954,4.10091,0.3658
0.22,17.11,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0176506,6.53726,0.0488065,0.345261,0.33233,0.72341,0.520206,1.28051,0.0879148
0.22,17.11,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0641529,4.27686,0.179537,0.254972,0.52417,0.581196,2.81617,2.18038,0.178476
0.22,17.11,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.175057,4.37643,0.474756,0.681107,1.00223,2.90019,11.3841,3.58993,0.274744
0.22,17.11,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.361874,4.25735,1.00328,0.391813,0.527825,0.856187,19.3441,4.22171,0.347412
0.22,17.11,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0155548,5.76104,0.0424964,0.326883,0.284383,0.548694,0.412673,1.17236,0.0944528
0.22,17.11,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0602094,4.01396,0.154366,0.252236,0.211092,0.310172,2.19621,2.04464,0.19314
0.22,17.11,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.165092,4.12729,0.419121,0.475235,0.3157,1.5934,7.96356,3.29004,0.275365
0.22,17.11,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.368703,4.33768,0.923678,0.362584,0.485759,1.14821,15.6787,4.10091,0.3658
0.22,20.3,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0194729,7.21218,0.0545139,0.345945,0.333897,0.723602,0.617193,1.28051,0.0879148
0.22,20.3,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0671448,4.47632,0.193493,0.256146,0.526516,0.582495,3.34122,2.18038,0.178476
0.22,20.3,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.177128,4.4282,0.496932,0.684479,1.01194,2.92265,13.5066,3.58993,0.274744
0.22,20.3,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.348719,4.10258,1.02189,0.394126,0.534912,0.870564,22.9506,4.22171,0.347412
0.22,20.3,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0170244,6.30532,0.047351,0.327561,0.285922,0.550908,0.489612,1.17236,0.0944528
0.22,20.3,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0615087,4.10058,0.164263,0.25324,0.213197,0.308099,2.60567,2.04464,0.19314
0.22,20.3,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.161253,4.03133,0.431896,0.477347,0.320314,1.6014,9.44828,3.29004,0.275365
0.22,20.3,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.350225,4.1203,0.932039,0.364481,0.491757,1.16405,18.6019,4.10091,0.3658
0.22,24.2,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.021629,8.01075,0.0612407,0.3467,0.335638,0.723742,0.735767,1.28051,0.0879148
0.22,24.2,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0717438,4.78292,0.211689,0.257399,0.528912,0.583932,3.98313,2.18038,0.178476
0.22,24.2,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.18287,4.57175,0.530241,0.68787,1.02171,2.94536,16.1015,3.58993,0.274744
0.22,24.2,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.341563,4.01839,1.06258,0.3968,0.54312,0.887845,27.3598,4.22171,0.347412
0.22,24.2,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0187919,6.95997,0.053115,0.328288,0.287538,0.553249,0.583676,1.17236,0.0944528
0.22,24.2,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0642861,4.28574,0.178051,0.25431,0.215353,0.306189,3.10627,2.04464,0.19314
0.22,24.2,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.160749,4.01872,0.455311,0.479419,0.324652,1.60845,11.2635,3.29004,0.275365
0.22,24.2,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.336913,3.96368,0.963817,0.366764,0.499051,1.18348,22.1757,4.10091,0.3658
0.27,12.1,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0145628,5.39363,0.0390949,0.307866,0.196393,0.675177,0.367884,1.28051,0.107895
0.27,12.1,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.061943,4.12954,0.16053,0.233841,0.339948,0.506143,1.99157,2.18038,0.219039
0.27,12.1,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.177481,4.43702,0.451117,0.575155,0.677759,2.07197,8.05074,3.58993,0.337186
0.27,12.1,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.405271,4.7679,1.01675,0.361149,0.322803,0.390494,13.6799,4.22171,0.426369
0.27,12.1,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0132112,4.89304,0.0343751,0.290934,0.159794,0.333877,0.291838,1.17236,0.115919
0.27,12.1,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0613725,4.0915,0.143784,0.237156,0.105731,0.481501,1.55313,2.04464,0.237036
0.27,12.1,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.181841,4.54604,0.418465,0.426017,0.158161,1.18502,5.63174,3.29004,0.337948
0.27,12.1,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.424606,4.99537,0.962336,0.330385,0.288899,0.666856,11.0878,4.10091,0.448936
0.27,14.4,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.015839,5.86628,0.0433343,0.308501,0.197676,0.673824,0.437812,1.28051,0.107895
0.27,14.4,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0617567,4.11711,0.167091,0.234868,0.341924,0.503989,2.37013,2.18038,0.219039
0.27,14.4,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.171246,4.28115,0.452292,0.578127,0.686203,2.09143,9.58106,3.58993,0.337186
0.27,14.4,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.378947,4.45821,0.99431,0.36258,0.32667,0.39734,16.2802,4.22171,0.426369
0.27,14.4,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0141677,5.24728,0.037878,0.291516,0.160735,0.334056,0.347311,1.17236,0.115919
0.27,14.4,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0597854,3.98569,0.146712,0.238026,0.10681,0.478094,1.84836,2.04464,0.237036
0.27,14.4,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.171287,4.28217,0.411173,0.428244,0.162341,1.19432,6.70223,3.29004,0.337948
0.27,14.4,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.394512,4.64132,0.927228,0.331023,0.289424,0.669792,13.1954,4.10091,0.448936
0.27,17.11,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.017357,6.4285,0.0482432,0.309144,0.198942,0.672516,0.520206,1.28051,0.107895
0.27,17.11,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0628972,4.19314,0.17702,0.235934,0.343889,0.502121,2.81617,2.18038,0.219039
0.27,17.11,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.168102,4.20254,0.462222,0.580966,0.694197,2.10975,11.3841,3.58993,0.337186
0.27,17.11,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.357849,4.20998,0.989097,0.364179,0.330572,0.403887,19.3441,4.22171,0.426369
0.27,17.11,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0153602,5.68896,0.042006,0.292139,0.161774,0.334328,0.412673,1.17236,0.115919
0.27,17.11,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0594048,3.96032,0.152887,0.238953,0.108048,0.47475,2.19621,2.04464,0.237036
0.27,17.11,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.163505,4.08763,0.412636,0.430237,0.166049,1.20166,7.96356,3.29004,0.337948
0.27,17.11,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.369379,4.34563,0.910101,0.332032,0.290949,0.675535,15.6787,4.10091,0.448936
0.27,20.3,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0191133,7.07898,0.0538585,0.309805,0.200224,0.671219,0.617193,1.28051,0.107895
0.27,20.3,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0653728,4.35818,0.19036,0.237038,0.345828,0.500529,3.34122,2.18038,0.219039
0.27,20.3,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.168066,4.20165,0.481221,0.583685,0.701773,2.12708,13.5066,3.58993,0.337186
0.27,20.3,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.342041,4.02402,1.00202,0.365944,0.334726,0.410639,22.9506,4.22171,0.426369
0.27,20.3,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.01678,6.2148,0.0467799,0.292785,0.162881,0.334638,0.489612,1.17236,0.115919
0.27,20.3,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0602566,4.01711,0.162333,0.239914,0.109378,0.471563,2.60567,2.04464,0.237036
0.27,20.3,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.158575,3.96437,0.423178,0.432053,0.169313,1.20739,9.44828,3.29004,0.337948
0.27,20.3,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.349135,4.10747,0.912302,0.333399,0.293546,0.68433,18.6019,4.10091,0.448936
0.27,24.2,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0211894,7.84793,0.0604775,0.310508,0.201585,0.669985,0.735767,1.28051,0.107895
0.27,24.2,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0693301,4.622,0.207834,0.238218,0.347775,0.499094,3.98313,2.18038,0.219039
0.27,24.2,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.171277,4.28193,0.510729,0.586411,0.709299,2.14421,16.1015,3.58993,0.337186
0.27,24.2,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.331448,3.89939,1.03545,0.367947,0.339395,0.418213,27.3598,4.22171,0.426369
0.27,24.2,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0184872,6.84712,0.0524478,0.293478,0.164043,0.33498,0.583676,1.17236,0.115919
0.27,24.2,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0624563,4.16375,0.175584,0.240935,0.110783,0.468585,3.10627,2.04464,0.237036
0.27,24.2,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.156572,3.91431,0.443893,0.43383,0.172433,1.21233,11.2635,3.29004,0.337948
0.27,24.2,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.333297,3.92114,0.936115,0.335156,0.297418,0.696632,22.1757,4.10091,0.448936
0.32,12.1,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0144736,5.36059,0.0388677,0.28501,0.117087,0.737493,0.367884,1.28051,0.127876
0.32,12.1,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0619295,4.12863,0.159833,0.221028,0.22418,0.638145,1.99157,2.18038,0.259601
0.32,12.1,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.176588,4.41469,0.447862,0.512972,0.477449,1.55854,8.05074,3.58993,0.399628
0.32,12.1,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.406316,4.78019,1.01464,0.344644,0.208624,0.216614,13.6799,4.22171,0.505327
0.32,12.1,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0131756,4.87984,0.0341914,0.2695,0.0961294,0.329368,0.291838,1.17236,0.137386
0.32,12.1,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0614654,4.09769,0.143504,0.228766,0.0715624,0.625114,1.55313,2.04464,0.280932
0.32,12.1,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.182435,4.56087,0.41729,0.39975,0.0911744,0.953563,5.63174,3.29004,0.400531
0.32,12.1,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.427632,5.03097,0.960955,0.312384,0.182851,0.410682,11.0878,4.10091,0.532072
0.32,14.4,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0157226,5.82318,0.0430666,0.285618,0.117831,0.735519,0.437812,1.28051,0.127876
0.32,14.4,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0615915,4.1061,0.166117,0.221995,0.225712,0.635317,2.37013,2.18038,0.259601
0.32,14.4,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.169586,4.23966,0.447703,0.51554,0.484397,1.57477,9.58106,3.58993,0.399628
0.32,14.4,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.379267,4.46196,0.990349,0.345886,0.211091,0.220147,16.2802,4.22171,0.505327
0.32,14.4,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0141141,5.22746,0.0376587,0.270067,0.0964186,0.32798,0.347311,1.17236,0.137386
0.32,14.4,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0597692,3.98461,0.146255,0.229596,0.071097,0.622104,1.84836,2.04464,0.280932
0.32,14.4,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.171664,4.29159,0.409201,0.401769,0.0921322,0.961083,6.70223,3.29004,0.400531
0.32,14.4,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.397371,4.67495,0.923955,0.312691,0.180936,0.410269,13.1954,4.10091,0.532072
0.32,17.11,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0172107,6.37435,0.0479316,0.286246,0.118672,0.733582,0.520206,1.28051,0.127876
0.32,17.11,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0625515,4.1701,0.175741,0.223006,0.227268,0.632763,2.81617,2.18038,0.259601
0.32,17.11,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.165562,4.13905,0.456112,0.517969,0.490869,1.58966,11.3841,3.58993,0.399628
0.32,17.11,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.357242,4.20285,0.982856,0.347292,0.213645,0.223451,19.3441,4.22171,0.505327
0.32,17.11,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0152879,5.6622,0.0417475,0.270675,0.0967918,0.326507,0.412673,1.17236,0.137386
0.32,17.11,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0592497,3.94998,0.152228,0.230481,0.0708577,0.619087,2.19621,2.04464,0.280932
0.32,17.11,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.163593,4.08982,0.409708,0.403559,0.0933848,0.966867,7.96356,3.29004,0.400531
0.32,17.11,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.371949,4.37587,0.904355,0.313377,0.179985,0.412475,15.6787,4.10091,0.532072
0.32,20.3,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0189334,7.01236,0.0534961,0.286894,0.119572,0.731661,0.617193,1.28051,0.127876
0.32,20.3,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0648153,4.32102,0.188749,0.224064,0.228851,0.630465,3.34122,2.18038,0.259601
0.32,20.3,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.164508,4.1127,0.47338,0.520332,0.49715,1.60398,13.5066,3.58993,0.399628
0.32,20.3,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.340285,4.00335,0.993008,0.348838,0.216404,0.226465,22.9506,4.22171,0.505327
0.32,20.3,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0166867,6.18026,0.0464785,0.271304,0.097204,0.32505,0.489612,1.17236,0.137386
0.32,20.3,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.059925,3.995,0.161443,0.231407,0.0708131,0.616203,2.60567,2.04464,0.280932
0.32,20.3,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.158273,3.95682,0.419106,0.405192,0.0947444,0.971181,9.44828,3.29004,0.400531
0.32,20.3,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.351226,4.13207,0.903385,0.314423,0.180104,0.417575,18.6019,4.10091,0.532072
0.32,24.2,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0209689,7.76624,0.0600577,0.287583,0.12053,0.729708,0.735767,1.28051,0.127876
0.32,24.2,JONSWAP,1.5,wave_data_jonswap_H1.500_L50.710_A-30.00_P120.00.csv,0.0685122,4.56748,0.205835,0.2252,0.230472,0.628304,3.98313,2.18038,0.259601
0.32,24.2,JONSWAP,4.0,wave_data_jonswap_H4.000_L112.766_A30.00_P30.00.csv,0.166505,4.16264,0.500798,0.522681,0.503271,1.61782,16.1015,3.58993,0.399628
0.32,24.2,JONSWAP,8.5,wave_data_jonswap_H8.500_L202.839_A-30.00_P72.00.csv,0.328165,3.86076,1.02293,0.350583,0.219477,0.229117,27.3598,4.22171,0.505327
0.32,24.2,PM-Stokes,0.27,wave_data_pmstokes_H0.270_L14.047_A30.00_P60.00.csv,0.0183698,6.80364,0.0520961,0.271987,0.0977007,0.323528,0.583676,1.17236,0.137386
0.32,24.2,PM-Stokes,1.5,wave_data_pmstokes_H1.500_L50.710_A-30.00_P120.00.csv,0.0618954,4.12636,0.174432,0.232395,0.070947,0.613535,3.10627,2.04464,0.280932
0.32,24.2,PM-Stokes,4.0,wave_data_pmstokes_H4.000_L112.766_A30.00_P30.00.csv,0.155722,3.89304,0.438468,0.406774,0.0962244,0.974584,11.2635,3.29004,0.400531
0.32,24.2,PM-Stokes,8.5,wave_data_pmstokes_H8.500_L202.839_A-30.00_P72.00.csv,0.334599,3.93646,0.923163,0.315856,0.181374,0.425839,22.1757,4.10091,0.532072
0.38,12.1,JONSWAP,0.27,wave_data_jonswap_H0.270_L14.047_A30.00_P60.00.csv,0.0144207,5.34099,0.0387154,0.267265,0.076761,0.830289,0.367884,1.28051,0.151853
