arm,record,seed,gate,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,disp_z_rms_m,disp_3d_rms_m,disp_z_pct_hs,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,tau_applied_s,sigma_applied_mps2
rp0_150,jonswap_H8.500,1,FAIL,0.407648474,0.262924939,3.83816242,0.538035572,1.43588269,6.32983017,0.0670117512,0.000232360879,4.22208929,1.34271467
rp0_150,jonswap_H8.500,2,FAIL,0.255847096,0.514297068,3.39617348,0.488980442,1.34425986,5.75271082,0.0865503103,0.000249198405,4.22125196,1.33949733
rp0_150,jonswap_H8.500,3,FAIL,0.171927437,0.662891865,2.00071359,0.506962597,1.35173082,5.96426582,0.0958883241,0.000244814175,4.22270012,1.34001398
rp0_150,jonswap_H8.500,4,FAIL,0.25077343,0.632654786,2.33508348,0.519884169,1.3959837,6.11628437,0.100878052,0.000167716178,4.22099257,1.33864534
rp0_150,jonswap_H8.500,5,FAIL,0.397814184,0.731748283,6.48499966,0.497935027,1.4060154,5.85805893,0.133759156,0.000243388029,4.22358608,1.33993495
rp0_150,pmstokes_H0.270,1,FAIL,0.251111299,0.497129619,3.22120309,0.0178972986,0.0494137332,6.62862873,0.0859915167,0.000240114648,1.19016337,0.374455363
rp0_150,pmstokes_H0.270,2,FAIL,0.341191977,0.201442853,4.0023675,0.01865362,0.0487308502,6.90874815,0.060870599,0.000238054825,1.17496097,0.373425692
rp0_150,pmstokes_H0.270,3,FAIL,0.185589686,0.219952419,4.80703783,0.0172986351,0.0482143648,6.40690184,0.0379330479,0.000226339689,1.14918911,0.363360405
rp0_150,pmstokes_H0.270,4,FAIL,0.322854161,0.251271337,2.33447647,0.0181250926,0.0484972708,6.71299696,0.0627295226,0.000224823889,1.157704,0.375236511
rp0_150,pmstokes_H0.270,5,FAIL,0.32544744,0.368680567,5.1163516,0.0166801307,0.0480117947,6.17782593,0.0809455365,0.00021131587,1.14953399,0.374746531
rp0_150,pmstokes_H1.500,1,FAIL,0.255243063,0.522049606,3.23228168,0.0943567306,0.251870364,6.29044867,0.085895136,0.000242121445,2.04426289,0.747584164
rp0_150,pmstokes_H1.500,2,FAIL,0.380369782,0.198762909,2.83626342,0.0903796926,0.239901602,6.02531242,0.0647404492,0.000250383251,2.04543304,0.746993423
rp0_150,pmstokes_H1.500,3,FAIL,0.206446648,0.231898323,3.22067618,0.0872827917,0.235362366,5.81885242,0.0381719507,0.000236616674,2.04294515,0.746214867
rp0_150,pmstokes_H1.500,4,FAIL,0.348711133,0.263559222,1.66225672,0.0906194299,0.238513499,6.04129505,0.0654433817,0.000209915554,2.04352808,0.74779582
rp0_150,pmstokes_H1.500,5,FAIL,0.323364615,0.389821708,6.01084328,0.0848467201,0.240948841,5.65644789,0.0823837966,0.000196687557,2.04251885,0.746023476
rp0_150,pmstokes_H4.000,1,FAIL,0.361821532,0.574690282,2.29180932,0.253671199,0.70880115,6.34178019,0.0992631018,0.000242064692,3.28942418,1.05846632
rp0_150,pmstokes_H4.000,2,FAIL,0.277700901,0.213417619,3.54722714,0.236908406,0.668329358,5.92270994,0.0450989902,0.000238936249,3.2908864,1.06255674
rp0_150,pmstokes_H4.000,3,FAIL,0.18558453,0.249894485,4.43962908,0.235587493,0.66114819,5.88968754,0.0328900144,0.000245871663,3.29019737,1.06391275
rp0_150,pmstokes_H4.000,4,FAIL,0.246397853,0.28227821,1.84798956,0.24891676,0.677046001,6.22291899,0.0474938303,0.000220473186,3.2902925,1.06313705
rp0_150,pmstokes_H4.000,5,FAIL,0.42149961,0.346146226,2.88451457,0.223048419,0.668157518,5.5762105,0.089900814,0.000235242987,3.29173493,1.06039894
rp0_150,pmstokes_H8.500,1,FAIL,0.240606785,0.48934108,3.32520199,0.544803441,1.38054466,6.40945196,0.0788033158,0.000235485859,4.10274935,1.41329074
rp0_150,pmstokes_H8.500,2,FAIL,0.43765077,0.245442554,2.90536618,0.480353445,1.26343715,5.65121698,0.0741243511,0.0002393912,4.10255957,1.41199362
rp0_150,pmstokes_H8.500,3,FAIL,0.198228911,0.2861,2.6012969,0.501416683,1.26581633,5.89901972,0.0367317796,0.000354121643,4.10273933,1.41282773
rp0_150,pmstokes_H8.500,4,FAIL,0.584133863,0.356246173,1.73901439,0.506124258,1.28767073,5.95440292,0.105845772,0.00023934526,4.10327768,1.40522873
rp0_150,pmstokes_H8.500,5,FAIL,0.301586062,0.443194598,5.8366189,0.494735271,1.33048022,5.82041502,0.08285065,0.000186751829,4.10105085,1.41125798
rv0_0.003,jonswap_H0.270,1,FAIL,0.264101803,0.462403804,3.55144858,0.0181717668,0.0504885241,6.73028374,0.081718713,0.000239469067,1.2976892,0.330172807
rv0_0.003,jonswap_H0.270,2,FAIL,0.32162106,0.229714453,4.10119772,0.0192875937,0.050189808,7.14355326,0.0604083799,0.000237801825,1.28320587,0.331642151
rv0_0.003,jonswap_H0.270,3,FAIL,0.177239105,0.244646356,5.02216959,0.0177775472,0.0496146753,6.58427668,0.0407555513,0.000225596596,1.25606072,0.340860814
rv0_0.003,jonswap_H0.270,4,FAIL,0.303479582,0.291304082,2.47822404,0.0183400903,0.0496710129,6.7926259,0.0646195784,0.000226499076,1.26511419,0.330715954
rv0_0.003,jonswap_H0.270,5,FAIL,0.344286501,0.414447397,5.87408543,0.0167157222,0.0492526926,6.19100809,0.0884659216,0.000198022593,1.25769985,0.331572473
rv0_0.003,jonswap_H1.500,1,FAIL,0.259753942,0.394314766,3.50062108,0.0959923118,0.260593414,6.39948702,0.0667325407,0.000243154485,2.18139935,0.684075892
rv0_0.003,jonswap_H1.500,2,FAIL,0.392717093,0.304176629,2.99896455,0.0965752155,0.2535263,6.43834734,0.0777161643,0.000246169948,2.18514132,0.685219526
rv0_0.003,jonswap_H1.500,3,FAIL,0.211742073,0.362052321,3.1699779,0.0901572704,0.246492371,6.0104847,0.059071172,0.000235106505,2.17887568,0.688429117
rv0_0.003,jonswap_H1.500,4,FAIL,0.358674824,0.39774248,1.77389181,0.0924204811,0.249257833,6.16136503,0.0832681507,0.000200531344,2.18383503,0.665489316
rv0_0.003,jonswap_H1.500,5,FAIL,0.305141568,0.522373199,6.53622723,0.0875536725,0.251017958,5.8369112,0.098877877,0.000198362162,2.17812371,0.679515004
rv0_0.003,jonswap_H4.000,1,FAIL,0.439948708,0.287746757,2.88306522,0.250457227,0.730351627,6.26143074,0.0732845441,0.000227628669,3.5906105,1.06248486
rv0_0.003,jonswap_H4.000,2,FAIL,0.206619486,0.509870112,3.95616722,0.247860804,0.721092105,6.19652033,0.0831706002,0.00022842933,3.59119201,1.0617187
rv0_0.003,jonswap_H4.000,3,FAIL,0.185393438,0.5832358,3.94849801,0.235937372,0.711919188,5.89843416,0.0887008607,0.000249342964,3.58975983,1.06095934
rv0_0.003,jonswap_H4.000,4,FAIL,0.211307541,0.620715916,2.48727584,0.253240734,0.722325802,6.33101845,0.0986432359,0.000198960959,3.59064627,1.06167448
rv0_0.003,jonswap_H4.000,5,FAIL,0.422525436,0.712752223,3.88534522,0.230122253,0.712053597,5.75305653,0.136698693,0.000284857175,3.58965158,1.05997014
rv0_0.003,jonswap_H8.500,1,FAIL,0.407648474,0.262924939,3.83816242,0.538035572,1.43588269,6.32983017,0.0670117512,0.000232360879,4.22208929,1.34271467
rv0_0.003,jonswap_H8.500,2,FAIL,0.255847096,0.514297068,3.39617348,0.488980442,1.34425986,5.75271082,0.0865503103,0.000249198405,4.22125196,1.33949733
rv0_0.003,jonswap_H8.500,3,FAIL,0.171927437,0.662891865,2.00071359,0.506962597,1.35173082,5.96426582,0.0958883241,0.000244814175,4.22270012,1.34001398
rv0_0.003,jonswap_H8.500,4,FAIL,0.25077343,0.632654786,2.33508348,0.519884169,1.3959837,6.11628437,0.100878052,0.000167716178,4.22099257,1.33864534
rv0_0.003,jonswap_H8.500,5,FAIL,0.397814184,0.731748283,6.48499966,0.497935027,1.4060154,5.85805893,0.133759156,0.000243388029,4.22358608,1.33993495
rv0_0.003,pmstokes_H0.270,1,FAIL,0.251111299,0.497129619,3.22120309,0.0178972986,0.0494137332,6.62862873,0.0859915167,0.000240114648,1.19016337,0.374455363
rv0_0.003,pmstokes_H0.270,2,FAIL,0.341191977,0.201442853,4.0023675,0.01865362,0.0487308502,6.90874815,0.060870599,0.000238054825,1.17496097,0.373425692
rv0_0.003,pmstokes_H0.270,3,FAIL,0.185589686,0.219952419,4.80703783,0.0172986351,0.0482143648,6.40690184,0.0379330479,0.000226339689,1.14918911,0.363360405
rv0_0.003,pmstokes_H0.270,4,FAIL,0.322854161,0.251271337,2.33447647,0.0181250926,0.0484972708,6.71299696,0.0627295226,0.000224823889,1.157704,0.375236511
rv0_0.003,pmstokes_H0.270,5,FAIL,0.32544744,0.368680567,5.1163516,0.0166801307,0.0480117947,6.17782593,0.0809455365,0.00021131587,1.14953399,0.374746531
rv0_0.003,pmstokes_H1.500,1,FAIL,0.255243063,0.522049606,3.23228168,0.0943567306,0.251870364,6.29044867,0.085895136,0.000242121445,2.04426289,0.747584164
rv0_0.003,pmstokes_H1.500,2,FAIL,0.380369782,0.198762909,2.83626342,0.0903796926,0.239901602,6.02531242,0.0647404492,0.000250383251,2.04543304,0.746993423
rv0_0.003,pmstokes_H1.500,3,FAIL,0.206446648,0.231898323,3.22067618,0.0872827917,0.235362366,5.81885242,0.0381719507,0.000236616674,2.04294515,0.746214867
rv0_0.003,pmstokes_H1.500,4,FAIL,0.348711133,0.263559222,1.66225672,0.0906194299,0.238513499,6.04129505,0.0654433817,0.000209915554,2.04352808,0.74779582
rv0_0.003,pmstokes_H1.500,5,FAIL,0.323364615,0.389821708,6.01084328,0.0848467201,0.240948841,5.65644789,0.0823837966,0.000196687557,2.04251885,0.746023476
rv0_0.003,pmstokes_H4.000,1,FAIL,0.361821532,0.574690282,2.29180932,0.253671199,0.70880115,6.34178019,0.0992631018,0.000242064692,3.28942418,1.05846632
rv0_0.003,pmstokes_H4.000,2,FAIL,0.277700901,0.213417619,3.54722714,0.236908406,0.668329358,5.92270994,0.0450989902,0.000238936249,3.2908864,1.06255674
rv0_0.003,pmstokes_H4.000,3,FAIL,0.18558453,0.249894485,4.43962908,0.235587493,0.66114819,5.88968754,0.0328900144,0.000245871663,3.29019737,1.06391275
rv0_0.003,pmstokes_H4.000,4,FAIL,0.246397853,0.28227821,1.84798956,0.24891676,0.677046001,6.22291899,0.0474938303,0.000220473186,3.2902925,1.06313705
rv0_0.003,pmstokes_H4.000,5,FAIL,0.42149961,0.346146226,2.88451457,0.223048419,0.668157518,5.5762105,0.089900814,0.000235242987,3.29173493,1.06039894
rv0_0.003,pmstokes_H8.500,1,FAIL,0.240606785,0.48934108,3.32520199,0.544803441,1.38054466,6.40945196,0.0788033158,0.000235485859,4.10274935,1.41329074
rv0_0.003,pmstokes_H8.500,2,FAIL,0.43765077,0.245442554,2.90536618,0.480353445,1.26343715,5.65121698,0.0741243511,0.0002393912,4.10255957,1.41199362
rv0_0.003,pmstokes_H8.500,3,FAIL,0.198228911,0.2861,2.6012969,0.501416683,1.26581633,5.89901972,0.0367317796,0.000354121643,4.10273933,1.41282773
rv0_0.003,pmstokes_H8.500,4,FAIL,0.584133863,0.356246173,1.73901439,0.506124258,1.28767073,5.95440292,0.105845772,0.00023934526,4.10327768,1.40522873
rv0_0.003,pmstokes_H8.500,5,FAIL,0.301586062,0.443194598,5.8366189,0.494735271,1.33048022,5.82041502,0.08285065,0.000186751829,4.10105085,1.41125798
rv0_0.03,jonswap_H0.270,1,FAIL,0.264101803,0.462403804,3.55144858,0.0181717668,0.0504885241,6.73028374,0.081718713,0.000239469067,1.2976892,0.330172807
rv0_0.03,jonswap_H0.270,2,FAIL,0.32162106,0.229714453,4.10119772,0.0192875937,0.050189808,7.14355326,0.0604083799,0.000237801825,1.28320587,0.331642151
rv0_0.03,jonswap_H0.270,3,FAIL,0.177239105,0.244646356,5.02216959,0.0177775472,0.0496146753,6.58427668,0.0407555513,0.000225596596,1.25606072,0.340860814
rv0_0.03,jonswap_H0.270,4,FAIL,0.303479582,0.291304082,2.47822404,0.0183400903,0.0496710129,6.7926259,0.0646195784,0.000226499076,1.26511419,0.330715954
rv0_0.03,jonswap_H0.270,5,FAIL,0.344286501,0.414447397,5.87408543,0.0167157222,0.0492526926,6.19100809,0.0884659216,0.000198022593,1.25769985,0.331572473
rv0_0.03,jonswap_H1.500,1,FAIL,0.259753942,0.394314766,3.50062108,0.0959923118,0.260593414,6.39948702,0.0667325407,0.000243154485,2.18139935,0.684075892
rv0_0.03,jonswap_H1.500,2,FAIL,0.392717093,0.304176629,2.99896455,0.0965752155,0.2535263,6.43834734,0.0777161643,0.000246169948,2.18514132,0.685219526
rv0_0.03,jonswap_H1.500,3,FAIL,0.211742073,0.362052321,3.1699779,0.0901572704,0.246492371,6.0104847,0.059071172,0.000235106505,2.17887568,0.688429117
rv0_0.03,jonswap_H1.500,4,FAIL,0.358674824,0.39774248,1.77389181,0.0924204811,0.249257833,6.16136503,0.0832681507,0.000200531344,2.18383503,0.665489316
rv0_0.03,jonswap_H1.500,5,FAIL,0.305141568,0.522373199,6.53622723,0.0875536725,0.251017958,5.8369112,0.098877877,0.000198362162,2.17812371,0.679515004
rv0_0.03,jonswap_H4.000,1,FAIL,0.439948708,0.287746757,2.88306522,0.250457227,0.730351627,6.26143074,0.0732845441,0.000227628669,3.5906105,1.06248486
rv0_0.03,jonswap_H4.000,2,FAIL,0.206619486,0.509870112,3.95616722,0.247860804,0.721092105,6.19652033,0.0831706002,0.00022842933,3.59119201,1.0617187
rv0_0.03,jonswap_H4.000,3,FAIL,0.185393438,0.5832358,3.94849801,0.235937372,0.711919188,5.89843416,0.0887008607,0.000249342964,3.58975983,1.06095934
rv0_0.03,jonswap_H4.000,4,FAIL,0.211307541,0.620715916,2.48727584,0.253240734,0.722325802,6.33101845,0.0986432359,0.000198960959,3.59064627,1.06167448
rv0_0.03,jonswap_H4.000,5,FAIL,0.422525436,0.712752223,3.88534522,0.230122253,0.712053597,5.75305653,0.136698693,0.000284857175,3.58965158,1.05997014
rv0_0.03,jonswap_H8.500,1,FAIL,0.407648474,0.262924939,3.83816242,0.538035572,1.43588269,6.32983017,0.0670117512,0.000232360879,4.22208929,1.34271467
rv0_0.03,jonswap_H8.500,2,FAIL,0.255847096,0.514297068,3.39617348,0.488980442,1.34425986,5.75271082,0.0865503103,0.000249198405,4.22125196,1.33949733
rv0_0.03,jonswap_H8.500,3,FAIL,0.171927437,0.662891865,2.00071359,0.506962597,1.35173082,5.96426582,0.0958883241,0.000244814175,4.22270012,1.34001398
rv0_0.03,jonswap_H8.500,4,FAIL,0.25077343,0.632654786,2.33508348,0.519884169,1.3959837,6.11628437,0.100878052,0.000167716178,4.22099257,1.33864534
rv0_0.03,jonswap_H8.500,5,FAIL,0.397814184,0.731748283,6.48499966,0.497935027,1.4060154,5.85805893,0.133759156,0.000243388029,4.22358608,1.33993495
rv0_0.03,pmstokes_H0.270,1,FAIL,0.251111299,0.497129619,3.22120309,0.0178972986,0.0494137332,6.62862873,0.0859915167,0.000240114648,1.19016337,0.374455363
rv0_0.03,pmstokes_H0.270,2,FAIL,0.341191977,0.201442853,4.0023675,0.01865362,0.0487308502,6.90874815,0.060870599,0.000238054825,1.17496097,0.373425692
rv0_0.03,pmstokes_H0.270,3,FAIL,0.185589686,0.219952419,4.80703783,0.0172986351,0.0482143648,6.40690184,0.0379330479,0.000226339689,1.14918911,0.363360405
rv0_0.03,pmstokes_H0.270,4,FAIL,0.322854161,0.251271337,2.33447647,0.0181250926,0.0484972708,6.71299696,0.0627295226,0.000224823889,1.157704,0.375236511
rv0_0.03,pmstokes_H0.270,5,FAIL,0.32544744,0.368680567,5.1163516,0.0166801307,0.0480117947,6.17782593,0.0809455365,0.00021131587,1.14953399,0.374746531
rv0_0.03,pmstokes_H1.500,1,FAIL,0.255243063,0.522049606,3.23228168,0.0943567306,0.251870364,6.29044867,0.085895136,0.000242121445,2.04426289,0.747584164
rv0_0.03,pmstokes_H1.500,2,FAIL,0.380369782,0.198762909,2.83626342,0.0903796926,0.239901602,6.02531242,0.0647404492,0.000250383251,2.04543304,0.746993423
rv0_0.03,pmstokes_H1.500,3,FAIL,0.206446648,0.231898323,3.22067618,0.0872827917,0.235362366,5.81885242,0.0381719507,0.000236616674,2.04294515,0.746214867
rv0_0.03,pmstokes_H1.500,4,FAIL,0.348711133,0.263559222,1.66225672,0.0906194299,0.238513499,6.04129505,0.0654433817,0.000209915554,2.04352808,0.74779582
rv0_0.03,pmstokes_H1.500,5,FAIL,0.323364615,0.389821708,6.01084328,0.0848467201,0.240948841,5.65644789,0.0823837966,0.000196687557,2.04251885,0.746023476
rv0_0.03,pmstokes_H4.000,1,FAIL,0.361821532,0.574690282,2.29180932,0.253671199,0.70880115,6.34178019,0.0992631018,0.000242064692,3.28942418,1.05846632
rv0_0.03,pmstokes_H4.000,2,FAIL,0.277700901,0.213417619,3.54722714,0.236908406,0.668329358,5.92270994,0.0450989902,0.000238936249,3.2908864,1.06255674
rv0_0.03,pmstokes_H4.000,3,FAIL,0.18558453,0.249894485,4.43962908,0.235587493,0.66114819,5.88968754,0.0328900144,0.000245871663,3.29019737,1.06391275
rv0_0.03,pmstokes_H4.000,4,FAIL,0.246397853,0.28227821,1.84798956,0.24891676,0.677046001,6.22291899,0.0474938303,0.000220473186,3.2902925,1.06313705
rv0_0.03,pmstokes_H4.000,5,FAIL,0.42149961,0.346146226,2.88451457,0.223048419,0.668157518,5.5762105,0.089900814,0.000235242987,3.29173493,1.06039894
rv0_0.03,pmstokes_H8.500,1,FAIL,0.240606785,0.48934108,3.32520199,0.544803441,1.38054466,6.40945196,0.0788033158,0.000235485859,4.10274935,1.41329074
rv0_0.03,pmstokes_H8.500,2,FAIL,0.43765077,0.245442554,2.90536618,0.480353445,1.26343715,5.65121698,0.0741243511,0.0002393912,4.10255957,1.41199362
rv0_0.03,pmstokes_H8.500,3,FAIL,0.198228911,0.2861,2.6012969,0.501416683,1.26581633,5.89901972,0.0367317796,0.000354121643,4.10273933,1.41282773
rv0_0.03,pmstokes_H8.500,4,FAIL,0.584133863,0.356246173,1.73901439,0.506124258,1.28767073,5.95440292,0.105845772,0.00023934526,4.10327768,1.40522873
rv0_0.03,pmstokes_H8.500,5,FAIL,0.301586062,0.443194598,5.8366189,0.494735271,1.33048022,5.82041502,0.08285065,0.000186751829,4.10105085,1.41125798
rv0_3,jonswap_H0.270,1,FAIL,0.264101803,0.462403804,3.55144858,0.0181717668,0.0504885241,6.73028374,0.081718713,0.000239469067,1.2976892,0.330172807
rv0_3,jonswap_H0.270,2,FAIL,0.32162106,0.229714453,4.10119772,0.0192875937,0.050189808,7.14355326,0.0604083799,0.000237801825,1.28320587,0.331642151
rv0_3,jonswap_H0.270,3,FAIL,0.177239105,0.244646356,5.02216959,0.0177775472,0.0496146753,6.58427668,0.0407555513,0.000225596596,1.25606072,0.340860814
rv0_3,jonswap_H0.270,4,FAIL,0.303479582,0.291304082,2.47822404,0.0183400903,0.0496710129,6.7926259,0.0646195784,0.000226499076,1.26511419,0.330715954
rv0_3,jonswap_H0.270,5,FAIL,0.344286501,0.414447397,5.87408543,0.0167157222,0.0492526926,6.19100809,0.0884659216,0.000198022593,1.25769985,0.331572473
rv0_3,jonswap_H1.500,1,FAIL,0.259753942,0.394314766,3.50062108,0.0959923118,0.260593414,6.39948702,0.0667325407,0.000243154485,2.18139935,0.684075892
rv0_3,jonswap_H1.500,2,FAIL,0.392717093,0.304176629,2.99896455,0.0965752155,0.2535263,6.43834734,0.0777161643,0.000246169948,2.18514132,0.685219526
rv0_3,jonswap_H1.500,3,FAIL,0.211742073,0.362052321,3.1699779,0.0901572704,0.246492371,6.0104847,0.059071172,0.000235106505,2.17887568,0.688429117
rv0_3,jonswap_H1.500,4,FAIL,0.358674824,0.39774248,1.77389181,0.0924204811,0.249257833,6.16136503,0.0832681507,0.000200531344,2.18383503,0.665489316
rv0_3,jonswap_H1.500,5,FAIL,0.305141568,0.522373199,6.53622723,0.0875536725,0.251017958,5.8369112,0.098877877,0.000198362162,2.17812371,0.679515004
rv0_3,jonswap_H4.000,1,FAIL,0.439948708,0.287746757,2.88306522,0.250457227,0.730351627,6.26143074,0.0732845441,0.000227628669,3.5906105,1.06248486
rv0_3,jonswap_H4.000,2,FAIL,0.206619486,0.509870112,3.95616722,0.247860804,0.721092105,6.19652033,0.0831706002,0.00022842933,3.59119201,1.0617187
rv0_3,jonswap_H4.000,3,FAIL,0.185393438,0.5832358,3.94849801,0.235937372,0.711919188,5.89843416,0.0887008607,0.000249342964,3.58975983,1.06095934
rv0_3,jonswap_H4.000,4,FAIL,0.211307541,0.620715916,2.48727584,0.253240734,0.722325802,6.33101845,0.0986432359,0.000198960959,3.59064627,1.06167448
rv0_3,jonswap_H4.000,5,FAIL,0.422525436,0.712752223,3.88534522,0.230122253,0.712053597,5.75305653,0.136698693,0.000284857175,3.58965158,1.05997014
rv0_3,jonswap_H8.500,1,FAIL,0.407648474,0.262924939,3.83816242,0.538035572,1.43588269,6.32983017,0.0670117512,0.000232360879,4.22208929,1.34271467
rv0_3,jonswap_H8.500,2,FAIL,0.255847096,0.514297068,3.39617348,0.488980442,1.34425986,5.75271082,0.0865503103,0.000249198405,4.22125196,1.33949733
rv0_3,jonswap_H8.500,3,FAIL,0.171927437,0.662891865,2.00071359,0.506962597,1.35173082,5.96426582,0.0958883241,0.000244814175,4.22270012,1.34001398
rv0_3,jonswap_H8.500,4,FAIL,0.25077343,0.632654786,2.33508348,0.519884169,1.3959837,6.11628437,0.100878052,0.000167716178,4.22099257,1.33864534
rv0_3,jonswap_H8.500,5,FAIL,0.397814184,0.731748283,6.48499966,0.497935027,1.4060154,5.85805893,0.133759156,0.000243388029,4.22358608,1.33993495
rv0_3,pmstokes_H0.270,1,FAIL,0.251111299,0.497129619,3.22120309,0.0178972986,0.0494137332,6.62862873,0.0859915167,0.000240114648,1.19016337,0.374455363
rv0_3,pmstokes_H0.270,2,FAIL,0.341191977,0.201442853,4.0023675,0.01865362,0.0487308502,6.90874815,0.060870599,0.000238054825,1.17496097,0.373425692
rv0_3,pmstokes_H0.270,3,FAIL,0.185589686,0.219952419,4.80703783,0.0172986351,0.0482143648,6.40690184,0.0379330479,0.000226339689,1.14918911,0.363360405
rv0_3,pmstokes_H0.270,4,FAIL,0.322854161,0.251271337,2.33447647,0.0181250926,0.0484972708,6.71299696,0.0627295226,0.000224823889,1.157704,0.375236511
rv0_3,pmstokes_H0.270,5,FAIL,0.32544744,0.368680567,5.1163516,0.0166801307,0.0480117947,6.17782593,0.0809455365,0.00021131587,1.14953399,0.374746531
rv0_3,pmstokes_H1.500,1,FAIL,0.255243063,0.522049606,3.23228168,0.0943567306,0.251870364,6.29044867,0.085895136,0.000242121445,2.04426289,0.747584164
rv0_3,pmstokes_H1.500,2,FAIL,0.380369782,0.198762909,2.83626342,0.0903796926,0.239901602,6.02531242,0.0647404492,0.000250383251,2.04543304,0.746993423
rv0_3,pmstokes_H1.500,3,FAIL,0.206446648,0.231898323,3.22067618,0.0872827917,0.235362366,5.81885242,0.0381719507,0.000236616674,2.04294515,0.746214867
rv0_3,pmstokes_H1.500,4,FAIL,0.348711133,0.263559222,1.66225672,0.0906194299,0.238513499,6.04129505,0.0654433817,0.000209915554,2.04352808,0.74779582
rv0_3,pmstokes_H1.500,5,FAIL,0.323364615,0.389821708,6.01084328,0.0848467201,0.240948841,5.65644789,0.0823837966,0.000196687557,2.04251885,0.746023476
rv0_3,pmstokes_H4.000,1,FAIL,0.361821532,0.574690282,2.29180932,0.253671199,0.70880115,6.34178019,0.0992631018,0.000242064692,3.28942418,1.05846632
rv0_3,pmstokes_H4.000,2,FAIL,0.277700901,0.213417619,3.54722714,0.236908406,0.668329358,5.92270994,0.0450989902,0.000238936249,3.2908864,1.06255674
rv0_3,pmstokes_H4.000,3,FAIL,0.18558453,0.249894485,4.43962908,0.235587493,0.66114819,5.88968754,0.0328900144,0.000245871663,3.29019737,1.06391275
