arm,record,seed,gate,roll_rms_deg,pitch_rms_deg,yaw_rms_deg,disp_z_rms_m,disp_3d_rms_m,disp_z_pct_hs,accel_bias_3d_rms_mps2,gyro_bias_3d_rms_radps,tau_applied_s,sigma_applied_mps2
deployed,jonswap_H0.270,1,FAIL,0.292264313,0.36848706,3.80107546,0.0119562577,0.060696546,4.42824364,0.06672097,0.000381716003,1.29800832,0.41444388
deployed,jonswap_H0.270,2,FAIL,0.336509854,0.207840309,4.05923843,0.0136857163,0.0579640344,5.06878376,0.0614561848,0.000317166676,1.28341174,0.41662091
deployed,jonswap_H0.270,3,FAIL,0.192688778,0.132745564,5.36810732,0.0120530538,0.0568032339,4.46409369,0.0272066779,0.000181022435,1.25631773,0.417670429
deployed,jonswap_H0.270,4,FAIL,0.268416792,0.464760125,2.88144565,0.0124807302,0.0563147217,4.62249231,0.0863536373,0.000130111104,1.26536524,0.418171555
deployed,jonswap_H0.270,5,FAIL,0.356298625,0.429501444,5.93389606,0.0118243573,0.0579530001,4.37939167,0.093078658,0.000226162185,1.25794101,0.417452663
deployed,jonswap_H1.500,1,FAIL,0.251249462,0.578468084,3.0131793,0.0604116656,0.269803882,4.02744436,0.0991352201,0.000200884257,2.18094516,0.811524987
deployed,jonswap_H1.500,2,FAIL,0.407455504,0.181385368,2.69178677,0.0658885166,0.259928316,4.39256763,0.0675710887,0.000210145241,2.18473244,0.810378373
deployed,jonswap_H1.500,3,FAIL,0.206130981,0.304564804,3.28928351,0.0582141578,0.25716275,3.88094378,0.0474904999,0.000296114042,2.17844152,0.810786724
deployed,jonswap_H1.500,4,PASS,0.436761111,0.150611579,1.10128248,0.060559839,0.255049586,4.03732252,0.0713938549,0.000245513453,2.18342996,0.810346067
deployed,jonswap_H1.500,5,FAIL,0.236227944,0.328000069,5.97056007,0.0567817464,0.258713543,3.7854495,0.0600960925,0.000172391548,2.17769837,0.810503185
deployed,jonswap_H4.000,1,FAIL,0.427351117,0.272642136,2.7984786,0.156859502,0.725886405,3.92148757,0.0701266229,0.000222772956,3.58984709,1.25036561
deployed,jonswap_H4.000,2,FAIL,0.232462972,0.392266899,3.75316477,0.168754727,0.71416527,4.21886826,0.0671757609,0.000241364993,3.59044552,1.24946749
deployed,jonswap_H4.000,3,FAIL,0.180748671,0.286740273,4.64030552,0.156331018,0.690051496,3.90827537,0.0416369289,0.00024879523,3.58899403,1.24857092
deployed,jonswap_H4.000,4,FAIL,0.214179382,0.659414113,2.57144761,0.164493307,0.706999838,4.11233282,0.106846131,0.000269514218,3.58989811,1.2494247
deployed,jonswap_H4.000,5,FAIL,0.41203928,0.579700291,3.59648943,0.154701576,0.720634282,3.86753941,0.117359437,0.000249294506,3.58888578,1.24740982
deployed,jonswap_H8.500,1,FAIL,0.252757609,0.48162505,2.97667885,0.339983046,1.35106945,3.99980044,0.0870428905,0.000287091854,4.22191954,1.58010566
deployed,jonswap_H8.500,2,FAIL,0.522309601,0.216573879,2.45880079,0.341005236,1.24412358,4.01182604,0.084448263,0.000258902,4.22109175,1.57632208
deployed,jonswap_H8.500,3,FAIL,0.186981097,0.184855923,3.54542994,0.342350364,1.34168088,4.02765131,0.0395557731,0.000457535643,4.22252655,1.57692933
deployed,jonswap_H8.500,4,FAIL,0.592858195,0.572281957,1.94841361,0.369496942,1.32755709,4.34702253,0.125938445,0.00037524238,4.22082567,1.57532203
deployed,jonswap_H8.500,5,FAIL,0.272551298,0.489901483,5.82671881,0.324188083,1.33387172,3.81397748,0.0838702694,0.000231734186,4.22340918,1.57683241
deployed,pmstokes_H0.270,1,FAIL,0.259269297,0.513829529,3.1753552,0.012039192,0.0593191944,4.45896006,0.0885033235,0.000210522994,1.18997025,0.464323074
deployed,pmstokes_H0.270,2,FAIL,0.369006515,0.144956023,3.81270576,0.0131489737,0.0563458055,4.86999035,0.0611967966,0.000208431113,1.17473733,0.463478357
deployed,pmstokes_H0.270,3,FAIL,0.199799061,0.135621563,5.08996582,0.011795504,0.0554602444,4.36870527,0.0278845895,0.000223080235,1.14891922,0.462060064
deployed,pmstokes_H0.270,4,FAIL,0.351214021,0.161248296,2.09343719,0.0124058332,0.0551188253,4.59475279,0.0590193383,0.000165941499,1.15747702,0.462887049
deployed,pmstokes_H0.270,5,FAIL,0.298268527,0.248859555,4.78675413,0.0118438862,0.0563513674,4.38662434,0.062681146,0.000197591711,1.14926147,0.46205315
